X,Y,FID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
-13649624.8961019,6193244.25254202,1786,18040,16000,ANACORTES,US,48.516667,-122.616667,48,31,N,122,37,W,CP07,18427,S,CN,E,N,N,N, , ,H,F,J,H,5,L, , ,Y, ,Y,Y, , ,Y, ,Y,Y, , ,Y,Y,Y,Y,Y,Y,Y,Y, , , ,Y,Y, ,Y, ,Y, ,Y, ,Y, ,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,C, ,M
-16549497.6312667,8587654.06779701,1787,19680,19080,WHITTIER,US,60.833333,-148.666667,60,50,N,148,40,W,CP09,16706,V,CN,G, , , ,Y, , , ,J, ,10, , , , , ,Y, ,Y, , , , , , , ,Y, ,Y,Y,Y,Y,Y, , , , ,N,N, , , , , , , , , ,N,Y,N,N,N, ,Y,Y,Y,N,N, , , 
758827.862240815,7984843.67724344,1788,23520,20620,FARSUND,NO,58.083333,6.816667,58,5,N,6,49,E,182,43360,V,CN,G,N,Y,N, ,Y,A,O,N, ,0,M,Y, ,Y,N,Y,Y,Y, , , ,Y, ,Y, , , ,Y,Y,Y, ,Y,Y, ,Y, ,Y, , ,N,Y, , , , , , , , , , , ,Y,Y, ,Y,Y, ,C, ,S
-13636637.622176,6232547.59747765,1789,18050,16000,BELLINGHAM,US,48.75,-122.5,48,45,N,122,30,W,CP07,18424,S,CN,E,N,N,N,Y, , ,K,K,N,5,L,N,Y,Y, ,Y,Y, , ,Y, ,Y,Y, , ,Y,Y,Y,Y,Y,Y,Y,Y, , , ,Y,Y, ,N,Y,Y,Y, ,Y,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,B, ,M
-16475284.6374045,8414595.46846032,1790,19710,19080,CRAB BAY,US,60.066667,-148,60,4,N,148,0,W,CP09,16702,V,CN,F,N,N,N,Y, , , ,L, ,9, , , , , ,Y,Y, , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , 
782947.085246024,7967317.53501591,1791,23525,20620,STUSVIK,NO,58,7.033333,58,0,N,7,2,E,182,43340,V,CB,F,N,Y,N,N,Y, ,M,M, ,0,M, , ,N,N,Y, , , , , , , , , , , , , , , ,Y,Y, ,Y, , , , ,N, , , , , , , , , , , , , , , , , , , , , 
-13664467.4948743,6252267.72511076,1792,18055,16000,CHERRY POINT,US,48.866667,-122.75,48,52,N,122,45,W,CP07,18431,V,CN,F,N,N,N, , ,A,A, ,D,5,L, , , , , ,Y, , , , ,Y,Y, , , , , , , , ,Y, , , , ,Y, , , , , , , , , , , ,Y, , , ,Y,Y,Y, ,Y,Y,C, , 
-16480850.6119442,8414595.46846032,1793,19730,19080,PORT ASHTON,US,60.066667,-148.05,60,4,N,148,3,W,CP09,16702,V,CN,G,N,N,N,Y, , , ,L,L,9, , , , , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
831185.531256443,7970819.49649574,1794,23530,20620,MANDAL,NO,58.016667,7.466667,58,1,N,7,28,E,193,43360,V,RN,G,N,N,N,Y,Y,J,A,N,H,1,M,Y, ,Y,N,Y,Y,Y, ,N, ,Y,Y,Y, ,Y, ,Y,Y,Y,Y,Y,Y, , , ,Y,Y, ,N, ,Y,Y, ,Y,Y,Y,Y, , , ,Y,Y,Y,Y, ,Y,Y,B, ,S
-13666322.8197209,6272033.88239925,1795,18060,16000,SEMIAHMOO,US,48.983333,-122.766667,48,59,N,122,46,W,CP07,18421,V,CN,G,N,N,N,Y, , ,N,L, ,6, , , , , , ,Y, , , , , , , , ,Y, , , ,Y,Y,Y,Y, , , ,Y,Y, , , , , , , , , ,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y, , , 
